iter	MultiClass
0	9.535396057
1	3.120137361
2	2.44482792
3	2.222610923
4	1.977876144
5	1.832624419
6	1.809510306
7	1.789204351
8	1.775574248
9	1.755068417
10	1.745149432
11	1.737817705
12	1.732098757
13	1.726865918
14	1.718186241
15	1.713699504
16	1.709215749
17	1.703723872
18	1.700767089
19	1.696968387
20	1.695201465
21	1.691128489
22	1.688291943
23	1.687488931
24	1.684151166
25	1.683511118
26	1.681048351
27	1.680139506
28	1.676519419
29	1.675656157
30	1.675271504
31	1.674852087
32	1.671105565
33	1.667758495
34	1.667208275
35	1.666041875
36	1.665204589
37	1.664321294
38	1.663634517
39	1.663264063
40	1.662722473
41	1.662197529
42	1.660832709
43	1.658344879
44	1.657017998
45	1.654057823
46	1.653038161
47	1.652300741
48	1.651441317
49	1.650813124
50	1.650580246
51	1.650375553
52	1.649384615
53	1.646864255
54	1.644318472
55	1.643715481
56	1.641222495
57	1.640913124
58	1.639817172
59	1.638599727
60	1.63538121
61	1.634763962
62	1.634152643
63	1.63302476
64	1.63234974
65	1.632024865
66	1.630707126
67	1.629489461
68	1.62894503
69	1.628180849
70	1.627458511
71	1.627300837
72	1.626499517
73	1.625231445
74	1.62483942
75	1.623944284
76	1.623451564
77	1.623079086
78	1.622610111
79	1.622343846
80	1.620027505
81	1.619215056
82	1.618551985
83	1.61741378
84	1.616491627
85	1.614835639
86	1.614128898
87	1.61354047
88	1.61286666
89	1.611470036
90	1.610546511
91	1.610189481
92	1.609570584
93	1.609118511
94	1.608652352
95	1.606484476
96	1.60602008
97	1.605764985
98	1.60537898
99	1.605085991
100	1.604299306
101	1.603414748
102	1.602529981
103	1.601495335
104	1.600790191
105	1.600020685
106	1.599222936
107	1.598382577
108	1.598071913
109	1.597776077
110	1.596611464
111	1.59623031
112	1.595443295
113	1.594688205
114	1.594513045
115	1.593744626
116	1.591185613
117	1.588896831
118	1.58846455
119	1.587047134
120	1.586691738
121	1.584881621
122	1.584412202
123	1.583800855
124	1.58334244
125	1.582854264
126	1.581863867
127	1.581106838
128	1.580573662
129	1.580316557
130	1.580096396
131	1.579554063
132	1.579069474
133	1.578619167
134	1.578276162
135	1.578030045
136	1.577279027
137	1.576613995
138	1.576246751
139	1.576005204
140	1.575706358
141	1.57518062
142	1.575004038
143	1.574369541
144	1.573831725
145	1.573220172
146	1.572247721
147	1.571921603
148	1.571300358
149	1.570476594
150	1.569632123
151	1.56896508
152	1.568647231
153	1.568374412
154	1.56768646
155	1.567475971
156	1.566804336
157	1.566168698
158	1.565730156
159	1.564958782
160	1.563815677
161	1.562670181
162	1.562035524
163	1.561270036
164	1.560536671
165	1.559963015
166	1.55943195
167	1.558495836
168	1.557817916
169	1.557617901
170	1.556791598
171	1.556445421
172	1.555727981
173	1.555154265
174	1.554431278
175	1.553659583
176	1.553046438
177	1.551998841
178	1.551360933
179	1.55105747
180	1.550780373
181	1.550523382
182	1.550089885
183	1.54974583
184	1.549156125
185	1.548358207
186	1.547932225
187	1.547590097
188	1.546891308
189	1.546287861
190	1.545882774
191	1.54561621
192	1.543492247
193	1.543116303
194	1.542334187
195	1.541986507
196	1.541739488
197	1.540441067
198	1.539783627
199	1.539422778
