iter	Passed	Remaining
0	4799	955033
1	9999	989937
2	14836	974290
3	19822	971320
4	25458	992865
5	30503	986288
6	36041	993705
7	41496	995926
8	46477	986358
9	51582	980067
10	57059	980378
11	62118	973185
12	67154	965994
13	72656	965288
14	77887	960608
15	82926	953654
16	88607	953830
17	94386	954353
18	99596	948783
19	105386	948479
20	110266	939888
21	115354	933319
22	120856	930066
23	125815	922649
24	131082	917577
25	136935	916412
26	142291	911717
27	147728	907473
28	153897	907466
29	159188	902069
30	164227	895302
31	169780	891347
32	174808	884634
33	179830	877995
34	185275	873439
35	190273	866802
36	195252	860166
37	200684	855551
38	205631	848887
39	210691	842765
40	216465	839462
41	221479	833183
42	226506	827013
43	231969	822437
44	237024	816418
45	242073	810420
46	247588	805978
47	252671	800126
48	257622	793897
49	263236	789709
50	268309	783884
51	273541	778539
52	278956	773708
53	284159	768282
54	289299	762699
55	294466	757199
56	299680	751830
57	304712	746020
58	309732	740207
59	315112	735262
60	320303	729871
61	325328	724118
62	330851	719469
63	336320	714681
64	341356	708970
65	346846	704203
66	351930	698608
67	357011	693021
68	362546	688312
69	367549	682591
70	372618	677011
71	378300	672534
72	383372	666963
73	388432	661384
74	394329	657216
75	399508	651829
76	404597	646305
77	410361	641847
78	415428	636288
79	420528	630792
80	426323	626326
81	431393	620785
82	436478	615277
83	442190	610644
84	447249	605102
85	452320	599587
86	458621	595681
87	463814	590309
88	468862	584761
89	474552	580008
90	479731	574623
91	484805	569119
92	490527	564369
93	495677	558955
94	500942	553672
95	506689	548913
96	511891	543555
97	517740	538873
98	523359	533932
99	528499	528499
100	533637	523070
101	539314	518164
102	544567	512845
103	549940	507637
104	555603	502689
105	561006	497496
106	566267	492175
107	571937	487206
108	577792	482376
109	583390	477319
110	588815	472113
111	594015	466726
112	599530	461585
113	604997	456401
114	610331	451114
115	615910	446003
116	621422	440838
117	626729	435524
118	632323	430404
119	638231	425487
120	643607	420206
121	649336	415149
122	654633	409811
123	659851	404425
124	665684	399410
125	671114	394146
126	676414	388805
127	682327	383808
128	687693	378498
129	692964	373134
130	699203	368282
131	704497	362923
132	709879	357608
133	715541	352430
134	720769	347037
135	725941	341619
136	731673	336463
137	737062	331143
138	742264	325741
139	747926	320539
140	753183	315161
141	759061	310039
142	764637	304785
143	769945	299423
144	775421	294125
145	780939	288840
146	786109	283427
147	791546	278110
148	797052	272816
149	802335	267445
150	808002	262199
151	813414	256867
152	819204	251650
153	824797	246367
154	830176	241019
155	835454	235640
156	841064	230355
157	846384	224988
158	851676	219614
159	857423	214355
160	862744	208987
161	868062	203619
162	873802	198347
163	879499	193060
164	884790	187682
165	890682	182429
166	896032	177060
167	901382	171691
168	907160	166402
169	912373	161007
170	917782	155647
171	923538	150343
172	928753	144949
173	934159	139587
174	940237	134319
175	945618	128947
176	950961	123571
177	956644	118236
178	961919	112850
179	967181	107464
180	972784	102115
181	978086	96733
182	983352	91349
183	988848	85986
184	994087	80601
185	999922	75262
186	1005427	69896
187	1010704	64513
188	1016085	59137
189	1021549	53765
190	1026838	48385
191	1032396	43016
192	1037918	37644
193	1043192	32263
194	1048822	26892
195	1054223	21514
196	1059880	16140
197	1065487	10762
198	1070763	5380
199	1076104	0
