foreign,foreigncountry_cleaned,shpmtyear,country_name,country_iso3,cleaned_name,cleaned_ID,cleaned_foreign
Home & Nature Unicon N.V,Aruba,2019.0,Aruba,ABW,Home Nature Unicon NV,ABW_1,Home Nature Unicon NV
Home & Nature Unicon N.V,Aruba,2020.0,Aruba,ABW,Home Nature Unicon NV,ABW_1,Home Nature Unicon NV
Home Nature Unicon N V,Aruba,2020.0,Aruba,ABW,Home Nature Unicon NV,ABW_1,Home Nature Unicon N V
Maspralto Enterprise,Aruba,2019.0,Aruba,ABW,Maspralto Enterprise,ABW_10,Maspralto Enterprise
Bon Bini Cargo Services,Aruba,2019.0,Aruba,ABW,Bon Bini Cargo Services,ABW_11,Bon Bini Cargo Services
Boardwalk,Aruba,2019.0,Aruba,ABW,Boardwalk,ABW_12,Boardwalk
Banjolux,Aruba,2020.0,Aruba,ABW,Banjolux,ABW_13,Banjolux
Mexim Aruba,Aruba,2019.0,Aruba,ABW,Mexim Aruba,ABW_14,Mexim Aruba
J O B Management Events,Aruba,2020.0,Aruba,ABW,J O B Management Events,ABW_15,J O B Management Events
Giannis Group,Aruba,2019.0,Aruba,ABW,Giannis Group,ABW_16,Giannis Group
Asd,Aruba,2019.0,Aruba,ABW,Asd,ABW_17,Asd
Interport Logistic Aruba,Aruba,2020.0,Aruba,ABW,Interport Logistic Aruba,ABW_18,Interport Logistic Aruba
Prada Retail Aruba N.V.,Aruba,2020.0,Aruba,ABW,Prada Retail Aruba NV,ABW_19,Prada Retail Aruba NV
Gca Auto Sales N V,Aruba,2019.0,Aruba,ABW,Gca Auto Sales N V,ABW_2,Gca Auto Sales N V
Gca Auto Sales N V,Aruba,2020.0,Aruba,ABW,Gca Auto Sales N V,ABW_2,Gca Auto Sales N V
Tricen Maintenance Services,Aruba,2019.0,Aruba,ABW,Tricen Maintenance Services,ABW_3,Tricen Maintenance Services
Osyth Henriquez,Aruba,2019.0,Aruba,ABW,Osyth Henriquez,ABW_4,Osyth Henriquez
Landglass Distibutor Ind,Aruba,2020.0,Aruba,ABW,Landglass Distibutor Ind,ABW_5,Landglass Distibutor Ind
Landglass Distibutor Ind,Aruba,2019.0,Aruba,ABW,Landglass Distibutor Ind,ABW_5,Landglass Distibutor Ind
Simple Beauty Trading N V,Aruba,2019.0,Aruba,ABW,Simple Beauty Trading N V,ABW_6,Simple Beauty Trading N V
R.E. Yrausquin And Sons (Aruba) N.V.,Aruba,2020.0,Aruba,ABW,RE Yrausquin And Sons Aruba NV,ABW_7,RE Yrausquin And Sons Aruba NV
Ultimate Automobiles N V,Aruba,2019.0,Aruba,ABW,Ultimate Automobiles N V,ABW_8,Ultimate Automobiles N V
Ultimate Automobiles N V,Aruba,2020.0,Aruba,ABW,Ultimate Automobiles N V,ABW_8,Ultimate Automobiles N V
W G Den Heijer Zn B V,Aruba,2020.0,Aruba,ABW,W G Den Heijer Zn B V,ABW_9,W G Den Heijer Zn B V
